ID,Date,Primary Type,Description,Latitude,Longitude,Arrest,District
116081234,2024-01-01,anti-social-behaviour,On or near Hercules Road,51.497269,-0.114064,False,Central London
116087081,2024-01-01,anti-social-behaviour,On or near Hills Place,51.515088,-0.140222,False,Central London
116085560,2024-01-01,anti-social-behaviour,On or near Dyott Street,51.516820,-0.127583,False,Central London
116087008,2024-01-01,anti-social-behaviour,On or near St Giles High Street,51.515598,-0.127633,False,Central London
116086992,2024-01-01,anti-social-behaviour,On or near Langham Place,51.517741,-0.143126,False,Central London
116086989,2024-01-01,anti-social-behaviour,On or near Further/higher Educational Building,51.517845,-0.121977,False,Central London
116086919,2024-01-01,anti-social-behaviour,On or near Villiers Street,51.507832,-0.123383,False,Central London
116083770,2024-01-01,anti-social-behaviour,On or near South Molton Lane,51.513288,-0.147530,False,Central London
116086895,2024-01-01,anti-social-behaviour,On or near Montreal Place,51.512133,-0.117918,False,Central London
116077267,2024-01-01,anti-social-behaviour,On or near Coburg Close,51.494661,-0.137668,False,Central London
116086746,2024-01-01,anti-social-behaviour,On or near John Prince's Street,51.515753,-0.143092,False,Central London
116084966,2024-01-01,anti-social-behaviour,On or near Bridge Street,51.500978,-0.125524,False,Central London
116086710,2024-01-01,anti-social-behaviour,On or near Theatre/concert Hall,51.510393,-0.123264,False,Central London
116083750,2024-01-01,anti-social-behaviour,On or near Arlington Street,51.506922,-0.140785,False,Central London
116084231,2024-01-01,anti-social-behaviour,On or near Conference/exhibition Centre,51.511301,-0.115963,False,Central London
116084896,2024-01-01,anti-social-behaviour,On or near Long Acre,51.513205,-0.124229,False,Central London
116086581,2024-01-01,anti-social-behaviour,On or near Smith Square,51.496238,-0.127130,False,Central London
116086555,2024-01-01,anti-social-behaviour,On or near Bridge Street,51.500978,-0.125524,False,Central London
116085600,2024-01-01,anti-social-behaviour,On or near Coventry Street,51.510295,-0.132318,False,Central London
116085219,2024-01-01,anti-social-behaviour,On or near Drury Lane,51.514369,-0.121645,False,Central London
116085418,2024-01-01,anti-social-behaviour,On or near Cleveland Place,51.506536,-0.136824,False,Central London
116084848,2024-01-01,anti-social-behaviour,On or near Bourchier Street,51.513052,-0.132681,False,Central London
116086521,2024-01-01,anti-social-behaviour,On or near Carlisle Place,51.495936,-0.141491,False,Central London
116086270,2024-01-01,anti-social-behaviour,On or near Rennie Street,51.507159,-0.105571,False,Central London
116086228,2024-01-01,anti-social-behaviour,On or near Supermarket,51.507415,-0.105835,False,Central London
116086168,2024-01-01,anti-social-behaviour,On or near Shopping Area,51.496466,-0.141499,False,Central London
116077071,2024-01-01,anti-social-behaviour,On or near South Molton Lane,51.513288,-0.147530,False,Central London
116086109,2024-01-01,anti-social-behaviour,On or near Denmark Street,51.515189,-0.129653,False,Central London
116073547,2024-01-01,anti-social-behaviour,On or near Downing Street,51.503196,-0.127032,False,Central London
116086091,2024-01-01,anti-social-behaviour,On or near Bloomsbury Square,51.519092,-0.122330,False,Central London
116074578,2024-01-01,anti-social-behaviour,On or near Pratt Walk,51.494818,-0.117089,False,Central London
116075712,2024-01-01,anti-social-behaviour,On or near Shopping Area,51.519933,-0.133899,False,Central London
116086038,2024-01-01,anti-social-behaviour,On or near Parking Area,51.510433,-0.140455,False,Central London
116076095,2024-01-01,anti-social-behaviour,On or near St Giles High Street,51.515598,-0.127633,False,Central London
116086031,2024-01-01,anti-social-behaviour,On or near Conference/exhibition Centre,51.496941,-0.130617,False,Central London
116076500,2024-01-01,anti-social-behaviour,On or near Further/higher Educational Building,51.517845,-0.121977,False,Central London
116085838,2024-01-01,anti-social-behaviour,On or near Shorts Gardens,51.514582,-0.125441,False,Central London
116076517,2024-01-01,anti-social-behaviour,On or near Montreal Place,51.512133,-0.117918,False,Central London
116076737,2024-01-01,anti-social-behaviour,On or near Leicester Square,51.510468,-0.130769,False,Central London
116085822,2024-01-01,anti-social-behaviour,On or near Charles Ii Street,51.507970,-0.133162,False,Central London
116085757,2024-01-01,anti-social-behaviour,On or near Langham Place,51.517741,-0.143126,False,Central London
116085686,2024-01-01,anti-social-behaviour,On or near Hills Place,51.515088,-0.140222,False,Central London
116085663,2024-01-01,anti-social-behaviour,On or near A302,51.498284,-0.110074,False,Central London
116085627,2024-01-01,anti-social-behaviour,On or near Down Street Mews,51.504717,-0.148022,False,Central London
116084827,2024-01-01,anti-social-behaviour,On or near Trafalgar Square,51.507938,-0.128898,False,Central London
116085647,2024-01-01,anti-social-behaviour,On or near Adeline Place,51.517858,-0.130120,False,Central London
116078777,2024-01-01,anti-social-behaviour,On or near Glasshouse Street,51.510520,-0.137439,False,Central London
116086381,2024-01-01,anti-social-behaviour,On or near Conference/exhibition Centre,51.515984,-0.118595,False,Central London
116076132,2024-01-01,anti-social-behaviour,On or near Nightclub,51.514012,-0.131078,False,Central London
116076921,2024-01-01,anti-social-behaviour,On or near South Molton Lane,51.513288,-0.147530,False,Central London
116073641,2024-01-01,anti-social-behaviour,On or near Upper James Street,51.512419,-0.137520,False,Central London
116075283,2024-01-01,anti-social-behaviour,On or near Bridge Street,51.500978,-0.125524,False,Central London
116086677,2024-01-01,anti-social-behaviour,On or near Percy Mews,51.517803,-0.133971,False,Central London
116083729,2024-01-01,anti-social-behaviour,On or near Theatre/concert Hall,51.510900,-0.127984,False,Central London
116081655,2024-01-01,anti-social-behaviour,On or near Surrey Street,51.512449,-0.115772,False,Central London
116074952,2024-01-01,anti-social-behaviour,On or near Bedford Place,51.520844,-0.125040,False,Central London
116079271,2024-01-01,anti-social-behaviour,On or near Hospital,51.499488,-0.118410,False,Central London
116076267,2024-01-01,anti-social-behaviour,On or near Bourchier Street,51.513052,-0.132681,False,Central London
116078438,2024-01-01,anti-social-behaviour,On or near Willoughby Street,51.517701,-0.127014,False,Central London
116077129,2024-01-01,anti-social-behaviour,On or near Hospital,51.499488,-0.118410,False,Central London
116078516,2024-01-01,anti-social-behaviour,On or near Hills Place,51.515088,-0.140222,False,Central London
116074931,2024-01-01,anti-social-behaviour,On or near Strutton Ground,51.497497,-0.133922,False,Central London
116074664,2024-01-01,anti-social-behaviour,On or near South Molton Lane,51.513288,-0.147530,False,Central London
116075736,2024-01-01,anti-social-behaviour,On or near Shopping Area,51.496466,-0.141499,False,Central London
116075634,2024-01-01,anti-social-behaviour,On or near Goodge Street,51.519378,-0.135737,False,Central London
116074923,2024-01-01,anti-social-behaviour,On or near Ormond Yard,51.508202,-0.136410,False,Central London
116074243,2024-01-01,anti-social-behaviour,On or near Long Acre,51.513205,-0.124229,False,Central London
116074229,2024-01-01,anti-social-behaviour,On or near Charing Cross,51.507394,-0.128042,False,Central London
116076332,2024-01-01,anti-social-behaviour,On or near Parking Area,51.495745,-0.132308,False,Central London
116074093,2024-01-01,anti-social-behaviour,On or near Nightclub,51.516341,-0.120151,False,Central London
116086466,2024-01-01,anti-social-behaviour,On or near Further/higher Educational Building,51.500280,-0.116091,False,Central London
116074833,2024-01-01,anti-social-behaviour,On or near Russell Street,51.512863,-0.120842,False,Central London
116087216,2024-01-01,anti-social-behaviour,On or near Nightclub,51.516900,-0.132077,False,Central London
116085167,2024-01-01,anti-social-behaviour,On or near Nightclub,51.511783,-0.129778,False,Central London
116074792,2024-01-01,anti-social-behaviour,On or near Palace Place,51.499046,-0.142561,False,Central London
116075228,2024-01-01,anti-social-behaviour,On or near Dane Street,51.518744,-0.118596,False,Central London
116074730,2024-01-01,anti-social-behaviour,On or near Fleet Street,51.513724,-0.111756,False,Central London
116084103,2024-01-01,anti-social-behaviour,On or near Downing Street,51.503196,-0.127032,False,Central London
116083927,2024-01-01,anti-social-behaviour,On or near Bloomfield Place,51.511694,-0.144568,False,Central London
116076360,2024-01-01,anti-social-behaviour,On or near Pratt Walk,51.494818,-0.117089,False,Central London
116083832,2024-01-01,anti-social-behaviour,On or near Conference/exhibition Centre,51.496941,-0.130617,False,Central London
115926286,2024-01-01,anti-social-behaviour,On or near Bridge Street,51.500978,-0.125524,False,Central London
116073745,2024-01-01,anti-social-behaviour,On or near Addington Street,51.501162,-0.116252,False,Central London
116078263,2024-01-01,anti-social-behaviour,On or near Princes Street,51.514365,-0.143408,False,Central London
116085331,2024-01-01,anti-social-behaviour,On or near Further/higher Educational Building,51.505035,-0.112677,False,Central London
116077811,2024-01-01,anti-social-behaviour,On or near Great Windmill Street,51.510952,-0.134064,False,Central London
116085336,2024-01-01,anti-social-behaviour,On or near Cosser Street,51.497024,-0.112777,False,Central London
116085369,2024-01-01,anti-social-behaviour,On or near Grafton Street,51.510141,-0.143046,False,Central London
116073711,2024-01-01,anti-social-behaviour,On or near Half Moon Street,51.506797,-0.145963,False,Central London
116087191,2024-01-01,anti-social-behaviour,On or near Race Track,51.518106,-0.116951,False,Central London
116077626,2024-01-01,anti-social-behaviour,On or near South Molton Lane,51.513288,-0.147530,False,Central London
116074953,2024-01-01,anti-social-behaviour,On or near Thirleby Road,51.496320,-0.138508,False,Central London
116083775,2024-01-01,anti-social-behaviour,On or near Thirleby Road,51.496320,-0.138508,False,Central London
116087151,2024-01-01,anti-social-behaviour,On or near New Bond Street,51.511893,-0.144070,False,Central London
116087334,2024-01-01,anti-social-behaviour,On or near William Iv Street,51.509491,-0.125924,False,Central London
116087111,2024-01-01,anti-social-behaviour,On or near Northumberland Avenue,51.506985,-0.124975,False,Central London
116076501,2024-01-01,anti-social-behaviour,On or near Nightclub,51.516341,-0.120151,False,Central London
116076589,2024-01-01,anti-social-behaviour,On or near Montague Street,51.519680,-0.125347,False,Central London
116075181,2024-01-01,anti-social-behaviour,On or near Nightclub,51.507766,-0.141284,False,Central London
116076622,2024-01-01,anti-social-behaviour,On or near St Giles High Street,51.515598,-0.127633,False,Central London
116086904,2024-01-01,anti-social-behaviour,On or near Charing Cross,51.507394,-0.128042,False,Central London
116076866,2024-01-01,anti-social-behaviour,On or near Nightclub,51.510953,-0.133012,False,Central London
116076924,2024-01-01,anti-social-behaviour,On or near Further/higher Educational Building,51.517727,-0.128612,False,Central London
116076136,2024-01-01,anti-social-behaviour,On or near Parking Area,51.518130,-0.137604,False,Central London
116074692,2024-01-01,anti-social-behaviour,On or near Broadwick Street,51.513470,-0.136339,False,Central London
116087092,2024-01-01,anti-social-behaviour,On or near John Prince's Street,51.515753,-0.143092,False,Central London
116078327,2024-01-01,anti-social-behaviour,On or near Pratt Walk,51.494818,-0.117089,False,Central London
116078344,2024-01-01,anti-social-behaviour,On or near Soho Street,51.515939,-0.132693,False,Central London
116078411,2024-01-01,anti-social-behaviour,On or near Curzon Street,51.506720,-0.147883,False,Central London
116078416,2024-01-01,anti-social-behaviour,On or near Hills Place,51.515088,-0.140222,False,Central London
116087180,2024-01-01,anti-social-behaviour,On or near Theatre/concert Hall,51.512300,-0.128388,False,Central London
116078565,2024-01-01,anti-social-behaviour,On or near Conference/exhibition Centre,51.511301,-0.115963,False,Central London
116078602,2024-01-01,anti-social-behaviour,On or near Nightclub,51.516623,-0.132976,False,Central London
116074579,2024-01-01,anti-social-behaviour,On or near Pratt Walk,51.494818,-0.117089,False,Central London
116077081,2024-01-01,anti-social-behaviour,On or near Lower Robert Street,51.508964,-0.122761,False,Central London
